,open,high,low,close,volume,sma_20,ema_20,sma_50,ema_50,sma_200,ema_200,rsi,macd,macd_signal,macd_diff,bb_upper,bb_lower,bb_middle,stoch_k,stoch_d,stoch_j,adx,obv,ichimoku_a,ichimoku_b,rolling_std,fibo_0,fibo_0.382,fibo_0.5,fibo_0.618,fibo_1,atr,mfi
2002-05-22,30.97,31.59,30.41,31.4,89543100,31.246999999999996,31.885502822809336,33.6096,33.22159678650833,36.2725,38.462918276124086,45.79438985904294,-0.4041771183055509,-0.6564811159461507,0.25230399764059974,33.70799248268492,28.78600751731507,31.246999999999996,57.19769673704407,61.932181701855335,47.72872680742155,22.939027970108913,-201098700,31.762500000000003,33.805,1.2624625059395165,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.3058822433167072,40.26621658080496
2002-05-23,31.63,32.1,30.8,32.03,94445800,31.227500000000003,31.899264458732254,33.5086,33.17486750076291,36.217150000000004,38.39890913904823,49.26355816699688,-0.34996890482888077,-0.5951786737226967,0.24520976889381596,33.656984513190345,28.79801548680966,31.227500000000003,69.28982725527828,60.78055022392829,86.30838131797827,21.728171184386554,-106652900,31.7175,33.21,1.2462992586297141,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.3054620830797996,46.69295841764252
2002-05-24,31.59,31.69,31.01,31.24,55874600,31.2375,31.83647736742442,33.3962,33.09899034387025,36.153800000000004,38.327676212291536,45.34453931785782,-0.36652977569668366,-0.5494488941174941,0.18291911842081043,33.665461078730814,28.809538921269183,31.2375,54.1266794625719,60.20473448496475,41.970569417786194,20.603804169072934,-162527500,31.880000000000003,33.18,1.2455177532415682,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.2850719342883854,47.834022671525
2002-05-28,31.47,31.52,30.49,31.1,68829400,31.236499999999996,31.76633666576495,33.2736,33.02059856567926,36.0934,38.25575903604983,44.66640118541012,-0.38649593064215537,-0.5168583014224264,0.13036237078027102,33.664670298770595,28.808329701229393,31.236499999999996,38.740920096852314,54.05247560490083,8.117809080755293,19.989584772365586,-231356900,31.6175,33.18,1.245625080857389,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.2668525104106436,48.72333645905446
2002-05-29,30.66,30.9,30.24,30.28,73470200,31.164000000000005,31.624780792834954,33.1304,32.913124112123214,36.0323,38.17639824962147,40.81609615781191,-0.46314752291405625,-0.5061161457207524,0.04296862280669611,33.6153783877304,28.71262161226961,31.164000000000005,18.88619854721551,37.25126603554657,-17.843936429446615,19.62085921925896,-304827100,31.502499999999998,33.18,1.2575305792903957,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.2377916168098835,41.06276626179335
2002-05-30,30.01,30.72,29.9,30.54,92080500,31.113,31.521468336374483,32.993599999999994,32.820060421451714,35.973600000000005,38.100414187436186,42.508340980727816,-0.4971834140340441,-0.5043295993834107,0.007146185349366618,33.57173219359727,28.654267806402732,31.113,25.18159806295396,27.602905569007262,20.33898305084736,19.551470049063116,-212746600,31.34,33.18,1.2613030021028204,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.2079493584663203,41.59132753172569
2002-05-31,30.76,31.04,30.0,30.04,79907400,31.089499999999997,31.380376113862628,32.873200000000004,32.71103844413988,35.9213,38.020211061193045,40.13188133024024,-0.5580698425293775,-0.515077648012604,-0.042992194516773496,33.57962027818569,28.5993797218143,31.089499999999997,9.343434343434277,17.80374365120125,-7.5771842720996645,19.118343662831382,-292654000,31.1625,33.150000000000006,1.2774047497533938,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.195952975718726,42.580222159411875
2002-06-03,30.0,30.25,28.79,28.98,77043700,31.051499999999997,31.151768864923326,32.7124,32.56472321103635,35.86285,37.930258712325454,35.5893596617195,-0.683971519070969,-0.548856422224277,-0.13511509684669198,33.64392955542317,28.459070444576824,31.051499999999997,3.9256198347107674,12.816884080366334,-13.856908656600366,19.646116597921644,-369697700,30.8575,32.78,1.329888301584958,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.2148134774531028,35.94308426541227
2002-06-04,28.75,29.68,28.61,29.36,98366200,31.070999999999998,30.981124211121102,32.566,32.43904779099571,35.80825,37.84498250623266,38.28618189004314,-0.744504496201035,-0.5879860370196286,-0.1565184591814064,33.60573391105094,28.536266088949056,31.070999999999998,14.940239043824691,9.403097740656579,26.01452165016092,20.25977416363542,-271331500,30.69,32.78,1.3002910605172016,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.2044696576350238,27.52137382388223
2002-06-05,29.42,29.8,28.97,29.66,95347100,31.119,30.855302857680996,32.448,32.33006552468215,35.75105,37.76353989423035,40.40751343988201,-0.7595146122294238,-0.6222917520615876,-0.13722286016783625,33.50427063450495,28.73372936549505,31.119,21.87500000000003,13.580286292845164,38.46442741430975,20.677354585896218,-175984400,30.69,32.78,1.223618017433248,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.1777218249468078,23.3156980903437
